Treatments,mOD_min_mg_protein,Block
CT,6.466,1
CT,98.47,2
CT,92.677,3
CT,122.247,4
CT,70.787,5
CT,196.103,6
GT,2668.973,1
GT,683.502,2
GT,1084.087,3
GT,686.024,4
GT,712.936,5
GT,610.425,6
HT,589.532,1
HT,916.078,2
HT,1055.652,3
HT,773.586,4
HT,580.566,5
HT,568.398,6
PT,743.473,1
PT,1083.124,2
PT,1099.082,3
PT,1456.996,4
PT,3506.851,6
WT,897.819,1
WT,668.512,3
WT,451.387,4
WT,569.578,5
WT,466.357,6
