Treatments,inhibition_mg_protein,Block
CT,71.2,1
CT,558,2
CT,103,3
CT,272,4
CT,615,5
CT,132,6
CT,44.2,7
WT,125,1
WT,77.1,2
WT,359,3
WT,253,4
WT,275,5
WT,108,6
WT,16.8,7
GT,377,1
GT,250,2
GT,372,3
GT,189,4
GT,153,5
GT,384,6
GT,178,7
HT,179,1
HT,206,2
HT,168,3
HT,94.8,4
HT,462,5
HT,142,6
HT,63.4,7
PT,139,1
PT,180,2
PT,177,3
PT,343,4
PT,247,5
PT,35.4,6
PT,14.7,7
